method,family,deploy_rel_error,weight_rel_error,wall_time_sec,final_primal,final_dual,final_rho
admm_fixed_rho_10,admm,0.2781653946794078,0.2642346662187993,1.5761267333485496,2.1874826276734334,28.211313284234972,10.0
admm_task_feas_aggressive,admm,0.25425993719977547,0.26574857880875774,1.3995586666860618,1.074769543990638,37.36658670034787,29.424519698312277
admm_task_feasibility,admm,0.316447175267232,0.28602283729110806,1.481941666667505,5.79384102422443,15.796859244196751,2.047696101367967
awq_like_scale_grid,external_proxy,0.2520137178303424,0.2546576623445593,0.03001633333042264,,,
fp16_reference,external_proxy,0.0,0.0,0.007934699999168515,,,
gptq_like_sequential,external_proxy,0.2048675903416249,0.3431059747551555,0.653298066657347,,,
hessian_diag_clip,external_proxy,0.2219734414316755,0.2291164253660879,0.013175199972465634,,,
rtn_per_channel,external_proxy,0.2520137178303424,0.2546576623445593,0.007074133298980693,,,
smoothquant_like_scale_grid,external_proxy,0.2520137178303424,0.2546576623445593,0.02827866666484624,,,
