problem,method,seed,family,bits,deploy_rel_error,weight_rel_error,wall_time_sec,final_primal,final_dual,final_rho,rho_changes
tiny_llm_ptq,fp16_reference,0,external_proxy,4,0.0,0.0,0.007792100019287318,,,,
tiny_llm_ptq,rtn_per_channel,0,external_proxy,4,0.24824506446024697,0.2539907769874624,0.005452399956993759,,,,
tiny_llm_ptq,hessian_diag_clip,0,external_proxy,4,0.2271942412665178,0.22721427558596294,0.010903999966103584,,,,
tiny_llm_ptq,awq_like_scale_grid,0,external_proxy,4,0.24824506446024697,0.2539907769874624,0.02213830000255257,,,,
tiny_llm_ptq,smoothquant_like_scale_grid,0,external_proxy,4,0.24824506446024697,0.2539907769874624,0.020589000021573156,,,,
tiny_llm_ptq,gptq_like_sequential,0,external_proxy,4,0.2099097656172657,0.33919180255585324,0.5784440999850631,,,,
tiny_llm_ptq,admm_fixed_rho_10,0,admm,4,0.26386382498558725,0.2633244917795478,1.3702930000144988,1.974753298517536,25.559699892617967,10.0,0
tiny_llm_ptq,admm_task_feasibility,0,admm,4,0.3126638307737877,0.2845400502967468,1.2664431000011973,5.477357165354144,14.36820445229667,1.9766386126368154,99
tiny_llm_ptq,admm_task_feas_aggressive,0,admm,4,0.2467811724313107,0.2651599986485346,1.326676500029862,1.187338254071865,39.945663928179684,30.1935201712015,100
tiny_llm_ptq,fp16_reference,1,external_proxy,4,0.0,0.0,0.006733399990480393,,,,
tiny_llm_ptq,rtn_per_channel,1,external_proxy,4,0.2539847322026257,0.2558444803097832,0.010652499971911311,,,,
tiny_llm_ptq,hessian_diag_clip,1,external_proxy,4,0.2051089223365635,0.22825475495840677,0.01556719996733591,,,,
tiny_llm_ptq,awq_like_scale_grid,1,external_proxy,4,0.2539847322026257,0.2558444803097832,0.04232909996062517,,,,
tiny_llm_ptq,smoothquant_like_scale_grid,1,external_proxy,4,0.2539847322026257,0.2558444803097832,0.034633399976883084,,,,
tiny_llm_ptq,gptq_like_sequential,1,external_proxy,4,0.18708960463415564,0.3440623069816416,0.6862924000015482,,,,
tiny_llm_ptq,admm_fixed_rho_10,1,admm,4,0.2946342147703279,0.26492696387120646,1.7763241000357084,2.0278041609196937,27.216256798360835,10.0,0
tiny_llm_ptq,admm_task_feasibility,1,admm,4,0.3187636125709889,0.28438618667546245,1.6357768999878317,5.693876397726191,14.80081102434385,1.9667478036423944,100
tiny_llm_ptq,admm_task_feas_aggressive,1,admm,4,0.2669622087087464,0.2661312878418544,1.2521950000082143,1.4528701890078062,50.250037109525294,27.302109625895113,100
tiny_llm_ptq,fp16_reference,2,external_proxy,4,0.0,0.0,0.009278599987737834,,,,
tiny_llm_ptq,rtn_per_channel,2,external_proxy,4,0.2538113568281545,0.2541377297364322,0.005117499968037009,,,,
tiny_llm_ptq,hessian_diag_clip,2,external_proxy,4,0.2336171606919451,0.23188024555389394,0.01305439998395741,,,,
tiny_llm_ptq,awq_like_scale_grid,2,external_proxy,4,0.2538113568281545,0.2541377297364322,0.02558160002809018,,,,
tiny_llm_ptq,smoothquant_like_scale_grid,2,external_proxy,4,0.2538113568281545,0.2541377297364322,0.029613599996082485,,,,
tiny_llm_ptq,gptq_like_sequential,2,external_proxy,4,0.21760340077345336,0.3460638147279716,0.6951576999854296,,,,
tiny_llm_ptq,admm_fixed_rho_10,2,admm,4,0.27599814428230834,0.26445254300564364,1.5817630999954417,2.55989042358307,31.857983161726104,10.0,0
tiny_llm_ptq,admm_task_feasibility,2,admm,4,0.31791408245691943,0.28914227490111494,1.5436050000134856,6.210289509592955,18.22156225594973,2.1997018878246912,100
tiny_llm_ptq,admm_task_feas_aggressive,2,admm,4,0.24903643045926932,0.26595444993588413,1.6198045000201091,0.5841001888922426,21.904059063338625,30.777929297840217,100
