model,corpus,method,bits,seeds,ppl_mean,ppl_std,delta_ppl_mean,recon_mean,rho_mean
gpt2,wikitext2,admm_gptq,3,5,241763186.7823413,203674097.61032873,241763157.77273226,0.4555645935471895,5.5639203783983575
gpt2,wikitext2,admm_gptq,4,5,2850.449790693473,2821.336374546946,2821.440181668652,0.17612678125512674,3.9414008989971143
gpt2,wikitext2,awq_proxy,3,5,157527.30402394937,42529.66070569237,157498.29441492454,0.3616632471468389,0.0
gpt2,wikitext2,awq_proxy,4,5,386.0717952014501,201.7184670089087,357.0621861766291,0.160862190367221,0.0
gpt2,wikitext2,fp32,,10,29.009609024820957,3.552713678800501e-15,0.0,0.0,0.0
gpt2,wikitext2,gptq_proxy,3,5,3209512.9331113296,3898024.282736486,3209483.9235023046,0.30242710823677255,0.0
gpt2,wikitext2,gptq_proxy,4,5,313.786474926065,16.007110753463046,284.77686590124404,0.1335969420666953,0.0
gpt2,wikitext2,rtn,3,5,485165195.4097902,5.960464477539063e-08,485165166.4001812,0.3925075514146483,0.0
gpt2,wikitext2,rtn,4,5,463007.3932351809,0.0,462978.38362615614,0.17675156562624214,0.0
